date,amount,category,type
2025-08-19,8000.0,summer,income
2025-08-19,20.0,school,expense
2025-08-21,22.88,"personal (clothes, shopping, gifts)",expense
2025-08-22,45.15,school,expense
2025-08-22,650.0,income,income
2025-08-23,49.5,dining,expense
2025-08-23,10.0,school,expense
2025-08-24,46.62,dining,expense
2025-08-24,20.0,school,expense
2025-08-24,16.86,"personal (clothes, shopping, gifts)",expense
2025-08-26,45.31,transport,expense
2025-08-26,39.81,"personal (clothes, shopping, gifts)",expense
2025-08-26,40.0,school,expense
2025-08-26,25.46,"personal (clothes, shopping, gifts)",expense
2025-08-27,44.52,transport,expense
2025-08-27,34.52,school,expense
2025-08-28,13.03,"personal (clothes, shopping, gifts)",expense
2025-08-31,800.0,rent,expense
2025-09-01,43.19,dining,expense
2025-09-02,38.44,transport,expense
2025-09-05,650.0,income,income
2025-09-15,3.44,dining,expense
2025-09-16,7.85,transport,expense
2025-09-18,48.67,"personal (clothes, shopping, gifts)",expense
2025-09-19,650.0,income,income
2025-09-20,46.46,dining,expense
2025-09-21,37.94,"personal (clothes, shopping, gifts)",expense
2025-09-24,7.88,transport,expense
2025-09-25,34.04,transport,expense
2025-09-26,3.99,transport,expense
2025-09-26,17.98,"personal (clothes, shopping, gifts)",expense
2025-09-26,3.91,"personal (clothes, shopping, gifts)",expense
2025-09-27,3.82,"personal (clothes, shopping, gifts)",expense
2025-09-29,25.75,transport,expense
2025-09-30,800.0,rent,expense
2025-10-02,14.06,"personal (clothes, shopping, gifts)",expense
2025-10-03,26.83,transport,expense
2025-10-03,650.0,income,income
2025-10-04,28.81,dining,expense
2025-10-09,21.99,dining,expense
2025-10-12,41.95,dining,expense
2025-10-14,28.21,dining,expense
2025-10-14,46.08,transport,expense
2025-10-16,47.55,dining,expense
2025-10-16,24.91,"personal (clothes, shopping, gifts)",expense
2025-10-17,5.64,dining,expense
2025-10-17,14.45,transport,expense
2025-10-17,650.0,income,income
2025-10-19,1.23,transport,expense
2025-10-20,9.24,"personal (clothes, shopping, gifts)",expense
2025-10-20,27.56,"personal (clothes, shopping, gifts)",expense
2025-10-21,26.28,dining,expense
2025-10-22,39.41,dining,expense
2025-10-29,27.41,"personal (clothes, shopping, gifts)",expense
2025-10-31,800.0,rent,expense
2025-10-31,650.0,income,income
2025-11-03,7.93,transport,expense
2025-11-03,43.89,transport,expense
2025-11-04,8.37,"personal (clothes, shopping, gifts)",expense
2025-11-05,13.09,"personal (clothes, shopping, gifts)",expense
2025-11-06,5.75,"personal (clothes, shopping, gifts)",expense
2025-11-06,8.12,dining,expense
2025-11-09,45.33,dining,expense
2025-11-10,33.15,"personal (clothes, shopping, gifts)",expense
2025-11-12,4.54,dining,expense
2025-11-13,8.55,"personal (clothes, shopping, gifts)",expense
2025-11-13,22.23,"personal (clothes, shopping, gifts)",expense
2025-11-14,34.89,dining,expense
2025-11-14,650.0,income,income
2025-11-16,17.02,transport,expense
2025-11-16,7.6,"personal (clothes, shopping, gifts)",expense
2025-11-16,36.96,"personal (clothes, shopping, gifts)",expense
2025-11-17,44.74,"personal (clothes, shopping, gifts)",expense
2025-11-19,44.11,dining,expense
2025-11-20,30.37,transport,expense
2025-11-20,28.69,dining,expense
2025-11-27,2.52,dining,expense
2025-11-28,650.0,income,income
2025-11-30,800.0,rent,expense
2025-12-06,47.89,dining,expense
2025-12-10,42.32,transport,expense
2025-12-11,33.25,transport,expense
2025-12-11,16.9,"personal (clothes, shopping, gifts)",expense
2025-12-11,24.56,dining,expense
2025-12-12,650.0,income,income
2025-12-15,26.28,dining,expense
2025-12-20,2.0,transport,expense
2025-12-24,9.42,transport,expense
2025-12-26,650.0,income,income
2025-12-27,22.36,transport,expense
2025-12-29,18.83,"personal (clothes, shopping, gifts)",expense
2025-12-31,800.0,rent,expense
2026-01-02,23.89,"personal (clothes, shopping, gifts)",expense
2026-01-04,7.16,dining,expense
2026-01-05,50.0,school,expense
2026-01-06,30.47,transport,expense
2026-01-06,23.12,"personal (clothes, shopping, gifts)",expense
2026-01-07,650.0,income,income
2026-01-07,34.0,"personal (clothes, shopping, gifts)",expense
2026-01-09,20.07,school,expense
2026-01-12,45.13,dining,expense
2026-01-13,35.15,school,expense
2026-01-14,45.64,"personal (clothes, shopping, gifts)",expense
2026-01-19,5.96,transport,expense
2026-01-19,14.98,dining,expense
2026-01-19,37.73,"personal (clothes, shopping, gifts)",expense
2026-01-20,40.0,school,expense
2026-01-21,49.34,transport,expense
2026-01-21,650.0,income,income
2026-01-24,3.51,"personal (clothes, shopping, gifts)",expense
2026-01-25,30.04,dining,expense
2026-01-31,800.0,rent,expense
2026-02-02,46.98,"personal (clothes, shopping, gifts)",expense
2026-02-03,29.7,dining,expense
2026-02-04,650.0,income,income
2026-02-04,28.17,transport,expense
2026-02-04,35.71,"personal (clothes, shopping, gifts)",expense
2026-02-07,23.43,"personal (clothes, shopping, gifts)",expense
2026-02-07,5.57,dining,expense
2026-02-11,7.43,dining,expense
2026-02-13,37.31,dining,expense
2026-02-13,16.75,dining,expense
2026-02-13,24.58,transport,expense
2026-02-15,34.14,transport,expense
2026-02-16,22.35,transport,expense
2026-02-17,37.41,"personal (clothes, shopping, gifts)",expense
2026-02-18,43.12,transport,expense
2026-02-18,650.0,income,income
2026-02-21,30.46,transport,expense
2026-02-21,20.6,"personal (clothes, shopping, gifts)",expense
